text,prediction,probab_0,probab_1
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",0,0.998,0.002
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",0,0.999,0.001
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0,0.999,0.001
offers that rare combination of entertainment and education .,0,0.999,0.001
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.245,0.755
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,0,0.873,0.127
take care of my cat offers a refreshingly different slice of asian cinema .,0,0.999,0.001
"this is a film well worth seeing , talking and singing heads and all .",0,0.999,0.001
what really surprises about wisegirls is its low-key quality and genuine tenderness .,0,0.999,0.001
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",0,0.998,0.002
"one of the greatest family-oriented , fantasy-adventure movies ever .",0,0.999,0.001
"ultimately , it ponders the reasons we need stories so much .",1,0.223,0.777
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,0,0.997,0.003
illuminating if overly talky documentary .,0,0.999,0.001
a masterpiece four years in the making .,0,0.999,0.001
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,0.087,0.913
offers a breath of the fresh air of true sophistication .,0,0.999,0.001
"a thoughtful , provocative , insistently humanizing film .",0,0.999,0.001
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0,0.998,0.002
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,0,0.999,0.001
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",0,0.999,0.001
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0,0.999,0.001
"occasionally melodramatic , it's also extremely effective .",0,0.999,0.001
spiderman rocks,0,0.996,0.004
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,0,0.999,0.001
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",0,0.642,0.358
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,0.023,0.977
"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.025,0.975
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0,0.999,0.001
"light , cute and forgettable .",0,0.995,0.005
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.003,0.997
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",0,0.999,0.001
"though everything might be literate and smart , it never took off and always seemed static .",1,0.268,0.732
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",0,0.999,0.001
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.004,0.996
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0,0.999,0.001
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,0.002,0.998
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",0,0.999,0.001
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",0,0.996,0.004
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0,0.998,0.002
"compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.114,0.886
the film makes a strong case for the importance of the musicians in creating the motown sound .,0,0.999,0.001
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.059,0.941
gosling provides an amazing performance that dwarfs everything else in the film .,0,0.999,0.001
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",0,0.999,0.001
tender yet lacerating and darkly funny fable .,0,0.999,0.001
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,0,0.999,0.001
