text1,text2,prediction,probab_0,probab_1
A girl playing a violin along with a group of people,A girl is washing a load of laundry.,1,0.026,0.974
A girl playing a violin along with a group of people,A girl is playing an instrument.,0,0.975,0.025
A woman within an orchestra is playing a violin.,A woman is playing the violin.,0,0.972,0.028
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,1,0.022,0.978
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,0,0.957,0.043
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,1,0.367,0.633
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,1,0.022,0.978
Three boys in white shirts are walking behind an older model Ford car.,there are three boys,1,0.483,0.517
Three boys in white shirts are walking behind an older model Ford car.,There are three girls,0,0.509,0.491
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,1,0.048,0.952
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,0,0.897,0.103
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,0,0.976,0.024
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,1,0.312,0.688
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,0.95,0.05
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,1,0.093,0.907
A woman working long hours.,A woman is working.,0,0.962,0.038
A woman working long hours.,A woman is sleeping.,1,0.349,0.651
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,1,0.05,0.95
Two teenage girls conversing next to lockers.,People talking next to lockers.,0,0.937,0.063
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,1,0.023,0.977
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,0,0.949,0.051
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,1,0.021,0.979
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,1,0.172,0.828
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,1,0.022,0.978
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,0,0.934,0.066
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,0,0.915,0.085
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,0,0.882,0.118
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,1,0.038,0.962
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,0,0.972,0.028
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,1,0.042,0.958
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.,0,0.96,0.04
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,1,0.041,0.959
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,0,0.93,0.07
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,1,0.299,0.701
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,1,0.349,0.651
Five girls and two guys are crossing a overpass.,There are people outside.,1,0.092,0.908
